user,time,hashtag
31,2019-12-11 11:44:00,#04
33,2019-12-13 11:46:00,#04
147,2019-12-10 19:04:00,#04
123,2019-12-13 10:51:00,#04
215,2019-12-14 07:58:00,#04
276,2019-12-13 11:14:00,#04
284,2019-12-11 00:42:00,#04
210,2019-12-12 04:00:00,#04
273,2019-12-12 19:59:00,#04
29,2019-12-11 16:00:00,#04
37,2019-12-12 21:46:00,#04
235,2019-12-11 22:28:00,#04
72,2019-12-11 00:11:00,#04
170,2019-12-13 13:37:00,#04
132,2019-12-12 08:40:00,#04
77,2019-12-13 10:19:00,#04
76,2019-12-12 06:55:00,#04
278,2019-12-13 10:29:00,#04
109,2019-12-11 06:01:00,#04
63,2019-12-12 07:48:00,#04
236,2019-12-13 00:06:00,#04
23,2019-12-14 15:07:00,#04
82,2019-12-10 20:01:00,#04
230,2019-12-14 13:26:00,#04
210,2019-12-10 18:05:00,#04
90,2019-12-14 05:01:00,#04
199,2019-12-11 12:02:00,#04
157,2019-12-13 14:58:00,#04
152,2019-12-10 19:58:00,#04
88,2019-12-11 22:21:00,#04
205,2019-12-12 00:14:00,#04
260,2019-12-10 22:16:00,#04
299,2019-12-10 20:01:00,#04
272,2019-12-11 10:47:00,#04
152,2019-12-11 03:04:00,#04
211,2019-12-12 21:46:00,#04
124,2019-12-11 13:23:00,#04
92,2019-12-11 17:38:00,#04
298,2019-12-14 12:07:00,#04
236,2019-12-11 05:51:00,#04
78,2019-12-12 13:12:00,#04
207,2019-12-14 12:18:00,#04
162,2019-12-11 05:04:00,#04
154,2019-12-13 09:51:00,#04
212,2019-12-13 12:57:00,#04
225,2019-12-13 22:53:00,#04
149,2019-12-14 12:30:00,#04
115,2019-12-11 13:45:00,#04
136,2019-12-14 03:34:00,#04
184,2019-12-12 14:11:00,#04
33,2019-12-11 23:10:00,#04
248,2019-12-10 20:59:00,#04
143,2019-12-12 16:52:00,#04
166,2019-12-14 10:59:00,#04
173,2019-12-11 21:24:00,#04
259,2019-12-14 06:02:00,#04
299,2019-12-11 01:46:00,#04
80,2019-12-12 19:00:00,#04
151,2019-12-10 17:27:00,#04
167,2019-12-11 07:41:00,#05
101,2019-12-13 19:21:00,#05
291,2019-12-14 10:03:00,#05
226,2019-12-12 08:23:00,#05
107,2019-12-11 11:59:00,#05
201,2019-12-13 22:09:00,#05
131,2019-12-12 10:49:00,#05
151,2019-12-11 10:21:00,#05
85,2019-12-13 01:01:00,#05
19,2019-12-12 01:01:00,#05
57,2019-12-12 09:11:00,#05
65,2019-12-13 19:28:00,#05
37,2019-12-12 04:12:00,#05
193,2019-12-11 14:42:00,#05
262,2019-12-13 08:02:00,#05
234,2019-12-11 07:17:00,#05
135,2019-12-12 06:44:00,#05
99,2019-12-14 08:23:00,#05
284,2019-12-11 22:40:00,#05
56,2019-12-12 19:55:00,#05
258,2019-12-14 13:35:00,#05
162,2019-12-12 09:09:00,#05
167,2019-12-14 07:59:00,#05
16,2019-12-12 06:50:00,#05
127,2019-12-13 01:46:00,#05
193,2019-12-13 14:51:00,#05
121,2019-12-10 15:38:00,#05
157,2019-12-13 10:35:00,#05
61,2019-12-11 02:13:00,#05
285,2019-12-14 03:31:00,#05
243,2019-12-11 07:06:00,#05
127,2019-12-13 19:48:00,#05
200,2019-12-12 17:01:00,#05
38,2019-12-14 12:55:00,#05
112,2019-12-11 08:39:00,#05
260,2019-12-13 20:01:00,#05
168,2019-12-13 03:44:00,#05
273,2019-12-12 22:49:00,#05
225,2019-12-14 07:20:00,#05
238,2019-12-14 11:56:00,#05
107,2019-12-11 03:30:00,#05
277,2019-12-12 23:08:00,#05
242,2019-12-14 12:11:00,#05
133,2019-12-13 07:05:00,#05
223,2019-12-14 06:33:00,#05
84,2019-12-12 10:54:00,#05
8,2019-12-12 16:13:00,#05
271,2019-12-11 09:23:00,#05
236,2019-12-11 22:11:00,#05
271,2019-12-11 14:58:00,#05
146,2019-12-14 10:23:00,#05
164,2019-12-10 14:31:00,#05
260,2019-12-12 11:14:00,#05
122,2019-12-13 21:20:00,#05
13,2019-12-13 12:27:00,#05
221,2019-12-13 00:21:00,#05
219,2019-12-14 00:36:00,#05
142,2019-12-13 14:57:00,#05
217,2019-12-13 19:18:00,#05
241,2019-12-14 10:38:00,#05
0,2019-12-14 14:36:00,#05
35,2019-12-12 11:02:00,#05
285,2019-12-12 03:32:00,#05
138,2019-12-11 23:27:00,#05
221,2019-12-10 15:09:00,#05
136,2019-12-12 08:52:00,#05
142,2019-12-12 18:51:00,#05
198,2019-12-12 12:18:00,#05
188,2019-12-10 14:45:00,#05
79,2019-12-13 01:07:00,#05
158,2019-12-12 18:56:00,#05
74,2019-12-13 09:05:00,#05
58,2019-12-12 16:21:00,#05
288,2019-12-13 06:10:00,#05
217,2019-12-10 15:05:00,#05
238,2019-12-13 08:43:00,#05
44,2019-12-13 03:25:00,#05
215,2019-12-14 15:26:00,#05
47,2019-12-13 05:38:00,#05
56,2019-12-12 21:22:00,#05
111,2019-12-14 02:47:00,#05
194,2019-12-12 16:57:00,#05
18,2019-12-13 10:53:00,#05
227,2019-12-11 05:51:00,#05
273,2019-12-12 13:08:00,#05
158,2019-12-14 16:50:00,#05
88,2019-12-12 16:46:00,#05
114,2019-12-12 09:45:00,#05
197,2019-12-11 04:25:00,#05
77,2019-12-12 04:25:00,#05
43,2019-12-12 10:01:00,#05
290,2019-12-12 14:18:00,#05
263,2019-12-11 13:21:00,#05
149,2019-12-10 13:26:00,#05
270,2019-12-10 14:40:00,#05
219,2019-12-13 14:31:00,#05
80,2019-12-14 15:33:00,#05
273,2019-12-12 08:07:00,#05
195,2019-12-11 06:16:00,#05
181,2019-12-13 16:59:00,#05
16,2019-12-11 21:47:00,#05
278,2019-12-12 03:37:00,#05
242,2019-12-11 10:14:00,#05
267,2019-12-14 09:40:00,#05
236,2019-12-11 15:03:00,#05
128,2019-12-13 16:12:00,#05
26,2019-12-12 23:43:00,#05
229,2019-12-11 03:12:00,#05
97,2019-12-11 05:07:00,#05
286,2019-12-13 19:52:00,#05
210,2019-12-11 19:30:00,#05
210,2019-12-12 19:03:00,#05
242,2019-12-14 09:06:00,#05
53,2019-12-14 04:37:00,#05
232,2019-12-10 23:22:00,#05
161,2019-12-12 14:51:00,#05
82,2019-12-11 20:31:00,#05
67,2019-12-13 05:02:00,#05
297,2019-12-14 02:33:00,#05
93,2019-12-13 03:01:00,#05
223,2019-12-11 22:24:00,#05
108,2019-12-11 07:15:00,#05
175,2019-12-12 07:55:00,#05
185,2019-12-12 23:33:00,#05
200,2019-12-11 07:37:00,#05
150,2019-12-13 11:01:00,#05
5,2019-12-12 10:59:00,#05
139,2019-12-11 03:31:00,#05
254,2019-12-11 23:26:00,#05
59,2019-12-11 01:29:00,#05
111,2019-12-11 18:22:00,#05
290,2019-12-14 02:22:00,#05
86,2019-12-10 17:15:00,#05
165,2019-12-13 01:43:00,#05
277,2019-12-11 19:27:00,#05
121,2019-12-14 02:39:00,#05
151,2019-12-14 00:11:00,#05
146,2019-12-14 07:18:00,#05
262,2019-12-10 13:10:00,#05
274,2019-12-13 21:11:00,#05
71,2019-12-11 00:42:00,#05
223,2019-12-12 18:07:00,#05
67,2019-12-10 17:41:00,#05
271,2019-12-13 16:34:00,#05
254,2019-12-12 11:04:00,#05
186,2019-12-11 18:21:00,#05
215,2019-12-14 07:30:00,#05
68,2019-12-11 04:45:00,#05
195,2019-12-11 12:13:00,#05
170,2019-12-12 15:19:00,#05
145,2019-12-11 01:13:00,#05
191,2019-12-11 14:11:00,#05
101,2019-12-13 09:37:00,#05
125,2019-12-12 19:06:00,#05
20,2019-12-10 14:17:00,#05
236,2019-12-11 07:21:00,#05
64,2019-12-12 12:11:00,#05
240,2019-12-11 04:50:00,#05
236,2019-12-12 11:21:00,#05
10,2019-12-12 23:12:00,#06
277,2019-12-14 10:04:00,#06
159,2019-12-13 00:38:00,#06
63,2019-12-14 01:51:00,#06
38,2019-12-12 22:15:00,#06
33,2019-12-11 19:37:00,#06
180,2019-12-11 00:54:00,#06
67,2019-12-11 12:19:00,#06
71,2019-12-11 16:03:00,#06
153,2019-12-14 10:48:00,#06
251,2019-12-13 18:12:00,#06
196,2019-12-12 20:18:00,#06
203,2019-12-11 08:50:00,#06
232,2019-12-13 18:44:00,#06
293,2019-12-13 22:53:00,#06
122,2019-12-13 11:20:00,#06
112,2019-12-14 01:52:00,#06
120,2019-12-13 18:20:00,#06
243,2019-12-12 17:18:00,#06
167,2019-12-11 10:17:00,#06
163,2019-12-13 08:53:00,#06
14,2019-12-14 09:01:00,#06
167,2019-12-11 19:52:00,#06
272,2019-12-12 15:40:00,#06
291,2019-12-12 20:03:00,#06
22,2019-12-12 04:10:00,#06
136,2019-12-12 12:17:00,#06
236,2019-12-11 10:35:00,#06
186,2019-12-14 15:58:00,#06
61,2019-12-12 01:11:00,#06
217,2019-12-13 16:49:00,#06
164,2019-12-12 16:59:00,#06
81,2019-12-13 19:07:00,#06
227,2019-12-11 06:49:00,#06
133,2019-12-13 05:57:00,#06
289,2019-12-12 05:57:00,#06
21,2019-12-12 10:25:00,#06
257,2019-12-13 17:49:00,#06
54,2019-12-13 05:43:00,#06
169,2019-12-13 19:03:00,#06
165,2019-12-12 10:37:00,#06
79,2019-12-10 14:35:00,#06
296,2019-12-12 22:50:00,#06
79,2019-12-13 12:18:00,#06
195,2019-12-12 23:24:00,#06
30,2019-12-14 12:41:00,#06
264,2019-12-12 08:51:00,#06
254,2019-12-13 11:42:00,#06
2,2019-12-13 17:44:00,#06
290,2019-12-12 02:32:00,#06
86,2019-12-12 10:15:00,#06
226,2019-12-11 22:33:00,#06
139,2019-12-13 22:24:00,#06
225,2019-12-11 03:28:00,#06
84,2019-12-12 11:14:00,#06
157,2019-12-11 13:07:00,#06
37,2019-12-13 17:34:00,#06
199,2019-12-14 04:14:00,#06
100,2019-12-13 13:57:00,#06
62,2019-12-12 12:42:00,#06
97,2019-12-11 08:52:00,#06
114,2019-12-12 02:43:00,#06
66,2019-12-13 09:00:00,#06
6,2019-12-11 05:59:00,#06
220,2019-12-13 22:14:00,#06
262,2019-12-11 22:57:00,#06
138,2019-12-10 20:54:00,#06
259,2019-12-12 21:21:00,#06
201,2019-12-13 16:21:00,#06
210,2019-12-11 01:27:00,#06
46,2019-12-11 09:52:00,#06
156,2019-12-12 19:31:00,#06
108,2019-12-14 07:24:00,#06
149,2019-12-12 22:21:00,#06
281,2019-12-10 23:49:00,#06
212,2019-12-12 23:58:00,#06
286,2019-12-12 06:35:00,#06
38,2019-12-10 21:52:00,#06
163,2019-12-11 20:44:00,#06
21,2019-12-13 00:45:00,#06
258,2019-12-12 19:32:00,#06
246,2019-12-11 00:55:00,#06
186,2019-12-13 13:43:00,#06
248,2019-12-14 16:52:00,#06
232,2019-12-11 20:24:00,#06
94,2019-12-12 23:49:00,#06
223,2019-12-13 23:46:00,#06
161,2019-12-12 13:59:00,#06
58,2019-12-11 00:06:00,#06
155,2019-12-12 06:37:00,#06
238,2019-12-10 23:28:00,#06
63,2019-12-11 00:34:00,#06
182,2019-12-14 01:45:00,#06
18,2019-12-11 05:27:00,#06
7,2019-12-13 16:09:00,#06
157,2019-12-11 04:45:00,#06
8,2019-12-11 05:45:00,#06
62,2019-12-13 09:26:00,#06
238,2019-12-12 14:37:00,#06
111,2019-12-13 11:33:00,#06
87,2019-12-11 23:12:00,#06
135,2019-12-14 02:42:00,#06
57,2019-12-13 08:48:00,#06
2,2019-12-13 21:22:00,#06
36,2019-12-10 16:57:00,#06
299,2019-12-12 18:20:00,#06
62,2019-12-12 05:47:00,#06
128,2019-12-10 14:58:00,#06
184,2019-12-12 07:35:00,#06
88,2019-12-11 13:15:00,#06
97,2019-12-12 20:49:00,#06
239,2019-12-13 08:54:00,#06
8,2019-12-13 00:46:00,#06
141,2019-12-11 23:36:00,#06
181,2019-12-12 00:13:00,#06
209,2019-12-14 07:11:00,#06
128,2019-12-11 01:28:00,#06
111,2019-12-12 12:16:00,#06
30,2019-12-11 17:37:00,#06
45,2019-12-12 12:23:00,#06
294,2019-12-11 03:31:00,#06
92,2019-12-10 19:35:00,#06
224,2019-12-10 20:37:00,#06
185,2019-12-13 23:06:00,#06
236,2019-12-12 21:51:00,#06
83,2019-12-10 22:58:00,#06
57,2019-12-14 07:46:00,#06
156,2019-12-14 08:45:00,#06
86,2019-12-14 07:16:00,#06
97,2019-12-14 04:27:00,#06
245,2019-12-10 15:58:00,#06
21,2019-12-13 00:54:00,#06
254,2019-12-11 09:16:00,#06
118,2019-12-11 22:24:00,#06
79,2019-12-13 20:05:00,#06
209,2019-12-12 10:13:00,#06
239,2019-12-12 21:20:00,#06
125,2019-12-13 22:27:00,#06
179,2019-12-13 05:23:00,#06
8,2019-12-12 03:27:00,#06
7,2019-12-14 12:45:00,#06
144,2019-12-14 01:40:00,#06
35,2019-12-13 21:26:00,#06
86,2019-12-11 04:46:00,#06
251,2019-12-10 23:22:00,#06
113,2019-12-11 04:31:00,#06
87,2019-12-11 03:32:00,#06
215,2019-12-13 16:08:00,#06
110,2019-12-13 13:54:00,#06
208,2019-12-14 09:48:00,#06
42,2019-12-12 15:13:00,#06
16,2019-12-10 13:11:00,#06
113,2019-12-14 10:17:00,#06
250,2019-12-10 22:26:00,#06
297,2019-12-12 18:49:00,#06
0,2019-12-13 23:42:00,#06
38,2019-12-11 02:52:00,#06
137,2019-12-14 06:56:00,#06
91,2019-12-10 14:04:00,#06
14,2019-12-10 16:27:00,#06
207,2019-12-14 13:15:00,#06
4,2019-12-11 08:11:00,#06
258,2019-12-13 10:14:00,#06
112,2019-12-12 08:07:00,#06
76,2019-12-11 09:31:00,#06
4,2019-12-13 15:33:00,#06
253,2019-12-14 09:56:00,#06
278,2019-12-13 22:46:00,#06
112,2019-12-10 15:47:00,#06
71,2019-12-14 09:46:00,#06
257,2019-12-11 02:07:00,#06
210,2019-12-13 08:41:00,#06
235,2019-12-14 02:08:00,#06
70,2019-12-10 16:39:00,#06
23,2019-12-13 07:39:00,#06
141,2019-12-11 06:19:00,#06
69,2019-12-10 21:40:00,#06
87,2019-12-12 08:19:00,#06
119,2019-12-10 15:40:00,#06
20,2019-12-14 04:34:00,#06
246,2019-12-13 14:55:00,#06
70,2019-12-11 12:54:00,#06
163,2019-12-12 14:28:00,#06
11,2019-12-11 16:34:00,#06
154,2019-12-13 11:55:00,#06
37,2019-12-11 16:22:00,#06
251,2019-12-14 01:33:00,#06
231,2019-12-14 07:31:00,#06
5,2019-12-13 02:49:00,#06
66,2019-12-10 20:18:00,#06
281,2019-12-10 14:54:00,#06
73,2019-12-11 06:11:00,#06
129,2019-12-14 00:40:00,#06
100,2019-12-13 01:55:00,#06
217,2019-12-10 19:20:00,#06
217,2019-12-11 20:37:00,#06
132,2019-12-12 20:55:00,#06
271,2019-12-12 18:01:00,#06
7,2019-12-14 12:03:00,#06
197,2019-12-11 22:46:00,#06
22,2019-12-10 16:08:00,#06
247,2019-12-14 05:43:00,#06
272,2019-12-11 20:11:00,#06
220,2019-12-13 15:57:00,#06
13,2019-12-11 04:50:00,#06
113,2019-12-11 02:41:00,#06
218,2019-12-14 09:54:00,#06
243,2019-12-14 06:27:00,#06
221,2019-12-13 22:49:00,#06
198,2019-12-12 15:13:00,#06
53,2019-12-12 22:03:00,#06
293,2019-12-11 12:17:00,#06
299,2019-12-11 07:58:00,#06
293,2019-12-10 21:48:00,#06
7,2019-12-12 22:16:00,#06
125,2019-12-14 08:30:00,#06
98,2019-12-12 08:36:00,#06
91,2019-12-10 15:34:00,#06
124,2019-12-10 17:03:00,#06
188,2019-12-11 07:12:00,#06
67,2019-12-12 19:51:00,#06
111,2019-12-10 19:46:00,#06
83,2019-12-11 09:50:00,#06
263,2019-12-11 06:03:00,#06
109,2019-12-11 03:58:00,#06
210,2019-12-13 08:50:00,#06
270,2019-12-11 04:09:00,#06
199,2019-12-10 21:40:00,#06
56,2019-12-11 05:26:00,#06
128,2019-12-12 00:22:00,#06
200,2019-12-13 23:02:00,#06
74,2019-12-12 17:21:00,#06
126,2019-12-12 13:32:00,#06
84,2019-12-12 18:59:00,#06
120,2019-12-13 20:45:00,#06
267,2019-12-11 13:49:00,#06
259,2019-12-12 11:43:00,#06
63,2019-12-13 16:19:00,#06
4,2019-12-11 17:35:00,#06
160,2019-12-13 19:36:00,#06
191,2019-12-11 18:04:00,#06
74,2019-12-14 14:01:00,#06
132,2019-12-11 10:49:00,#06
276,2019-12-12 03:12:00,#06
3,2019-12-11 12:42:00,#06
86,2019-12-13 00:49:00,#07
215,2019-12-13 23:18:00,#07
58,2019-12-10 17:59:00,#07
2,2019-12-14 05:08:00,#07
179,2019-12-12 18:59:00,#07
227,2019-12-11 22:02:00,#07
12,2019-12-13 10:58:00,#07
234,2019-12-12 08:56:00,#07
144,2019-12-13 16:18:00,#07
248,2019-12-12 03:09:00,#07
42,2019-12-11 13:37:00,#07
190,2019-12-13 01:32:00,#07
145,2019-12-11 18:08:00,#07
198,2019-12-14 01:22:00,#07
42,2019-12-11 21:28:00,#07
209,2019-12-12 22:17:00,#07
284,2019-12-13 21:50:00,#07
74,2019-12-10 20:00:00,#07
87,2019-12-12 23:03:00,#07
109,2019-12-13 15:34:00,#07
237,2019-12-11 13:08:00,#07
275,2019-12-14 14:30:00,#07
84,2019-12-12 07:01:00,#07
6,2019-12-10 16:18:00,#07
165,2019-12-13 22:26:00,#07
94,2019-12-12 05:18:00,#07
160,2019-12-10 22:19:00,#07
